idll_dll_loader /home/kali/Downloads/sandbox/u297528.dat
0x399b:$idll: IdllEntry
0x3992:$idll_name: idll.dll
idll_dll_syscall_stubs /home/kali/Downloads/sandbox/u297528.dat
0x3339:$syscall_ret: 0F 05 C3
0x3345:$syscall_ret: 0F 05 C3
0x3351:$syscall_ret: 0F 05 C3
0x335d:$syscall_ret: 0F 05 C3
0x3369:$syscall_ret: 0F 05 C3
0x3375:$syscall_ret: 0F 05 C3
0x3330:$mov_r10_rcx: 4C 8B D1
0x333c:$mov_r10_rcx: 4C 8B D1
0x3348:$mov_r10_rcx: 4C 8B D1
0x3354:$mov_r10_rcx: 4C 8B D1
0x3360:$mov_r10_rcx: 4C 8B D1
0x336c:$mov_r10_rcx: 4C 8B D1
idll_dll_peb_walker /home/kali/Downloads/sandbox/u297528.dat
0x30ad:$gs_60: 65 48 8B 04 25 60 00 00 00
0x30b8:$peb_ldr: 48 8B 58 18
0x2d20:$hash_mul: 6B C0 21
0x3150:$hash_mul: 6B C0 21
0x2d02:$hash_init: B8 A1 E7 00 00
0x313f:$hash_init: B8 A1 E7 00 00
idll_dll_xor_decrypt /home/kali/Downloads/sandbox/u297528.dat
0x5b8ec7:$xor_7a: 34 7A
0x5c8847:$xor_7a: 34 7A
0x5e66ba:$xor_7a: 34 7A
0x5e8971:$xor_7a: 34 7A
0x60937e:$xor_7a: 34 7A
0x612d94:$xor_7a: 34 7A
0x63d08d:$xor_7a: 34 7A
0x645e49:$xor_7a: 34 7A
0x658f1a:$xor_7a: 34 7A
0x67004a:$xor_7a: 34 7A
0x687bd1:$xor_7a: 34 7A
0x6949e1:$xor_7a: 34 7A
0x6b3eee:$xor_7a: 34 7A
0x6b8202:$xor_7a: 34 7A
0x6cb97e:$xor_7a: 34 7A
0x6e904b:$xor_7a: 34 7A
0x708e96:$xor_7a: 34 7A
0x7092e1:$xor_7a: 34 7A
0x713e2d:$xor_7a: 34 7A
0x71e02e:$xor_7a: 34 7A
0x727570:$xor_7a: 34 7A
0x743cda:$xor_7a: 34 7A
0x78ea58:$xor_7a: 34 7A
0x791845:$xor_7a: 34 7A
0x7988c6:$xor_7a: 34 7A
0x799c89:$xor_7a: 34 7A
0x7a0bf2:$xor_7a: 34 7A
0x7ae0bb:$xor_7a: 34 7A
0x7b1543:$xor_7a: 34 7A
0x7d1f37:$xor_7a: 34 7A
0x7dccfb:$xor_7a: 34 7A
0x7f84cc:$xor_7a: 34 7A
0x811564:$xor_7a: 34 7A
0x81844b:$xor_7a: 34 7A
0x8363b5:$xor_7a: 34 7A
0x847997:$xor_7a: 34 7A
0x852ea9:$xor_7a: 34 7A
0x86760e:$xor_7a: 34 7A
0x8728cc:$xor_7a: 34 7A
0x88daaa:$xor_7a: 34 7A
0x8934ca:$xor_7a: 34 7A
0x8a975d:$xor_7a: 34 7A
0x8b29d2:$xor_7a: 34 7A
0x8b5b47:$xor_7a: 34 7A
0x8ccf4a:$xor_7a: 34 7A
0x8d5d59:$xor_7a: 34 7A
0x8e3f3d:$xor_7a: 34 7A
0x8eeea0:$xor_7a: 34 7A
0x8f4361:$xor_7a: 34 7A
0x8f8397:$xor_7a: 34 7A
0x8fd44b:$xor_7a: 34 7A
0x904dea:$xor_7a: 34 7A
0x9202a5:$xor_7a: 34 7A
0x92aaf6:$xor_7a: 34 7A
0x944062:$xor_7a: 34 7A
0x947639:$xor_7a: 34 7A
0x94be81:$xor_7a: 34 7A
0x963e77:$xor_7a: 34 7A
0x975dd6:$xor_7a: 34 7A
0x98cf9b:$xor_7a: 34 7A
0x9968da:$xor_7a: 34 7A
0x9ab682:$xor_7a: 34 7A
0x9b3ba0:$xor_7a: 34 7A
0x9dfb06:$xor_7a: 34 7A
0x9dfe10:$xor_7a: 34 7A
0x9e9870:$xor_7a: 34 7A
0x9eba72:$xor_7a: 34 7A
0xa03fe2:$xor_7a: 34 7A
0xa16f84:$xor_7a: 34 7A
0xa1d28c:$xor_7a: 34 7A
0xa3ae1e:$xor_7a: 34 7A
0xa3f766:$xor_7a: 34 7A
0xa4ba23:$xor_7a: 34 7A
0xa57058:$xor_7a: 34 7A
0xa5ce56:$xor_7a: 34 7A
0xa690d5:$xor_7a: 34 7A
0xa79ab4:$xor_7a: 34 7A
0xa7c226:$xor_7a: 34 7A
0xa7d670:$xor_7a: 34 7A
0xa8afae:$xor_7a: 34 7A
0xa920a8:$xor_7a: 34 7A
0xa99b90:$xor_7a: 34 7A
0xa9cea7:$xor_7a: 34 7A
0xaa40e1:$xor_7a: 34 7A
0xabb33f:$xor_7a: 34 7A
0xae6616:$xor_7a: 34 7A
0xae7e5c:$xor_7a: 34 7A
0xae8c22:$xor_7a: 34 7A
0xae8e09:$xor_7a: 34 7A
0xaf4a64:$xor_7a: 34 7A
0xafdd38:$xor_7a: 34 7A
0xafdf9b:$xor_7a: 34 7A
0xb11515:$xor_7a: 34 7A
0xb19d51:$xor_7a: 34 7A
0xb1ed90:$xor_7a: 34 7A
0xb36104:$xor_7a: 34 7A
0xb371e9:$xor_7a: 34 7A
0xb39cda:$xor_7a: 34 7A
0xb4ed72:$xor_7a: 34 7A
0xb6395f:$xor_7a: 34 7A
0xb664b6:$xor_7a: 34 7A
0xb975e2:$xor_7a: 34 7A
0xbfc279:$xor_7a: 34 7A
0xc2b430:$xor_7a: 34 7A
0xc47228:$xor_7a: 34 7A
0xe51:$xor_b7: 34 B7
0xfb1:$xor_b7: 34 B7
0x1181:$xor_b7: 34 B7
0x1381:$xor_b7: 34 B7
0x15a1:$xor_b7: 34 B7
0x17e1:$xor_b7: 34 B7
0x59111f:$xor_b7: 34 B7
0x595b0c:$xor_b7: 34 B7
0x5b72d8:$xor_b7: 34 B7
0x5be792:$xor_b7: 34 B7
0x5d2fa6:$xor_b7: 34 B7
0x60ae11:$xor_b7: 34 B7
0x61077c:$xor_b7: 34 B7
0x61c20b:$xor_b7: 34 B7
0x62a02b:$xor_b7: 34 B7
0x62b140:$xor_b7: 34 B7
0x63c022:$xor_b7: 34 B7
0x654020:$xor_b7: 34 B7
0x655fe1:$xor_b7: 34 B7
0x65c97f:$xor_b7: 34 B7
0x662da5:$xor_b7: 34 B7
0x662f9b:$xor_b7: 34 B7
0x6648c4:$xor_b7: 34 B7
0x671ec0:$xor_b7: 34 B7
0x68736a:$xor_b7: 34 B7
0x692274:$xor_b7: 34 B7
0x6b34e9:$xor_b7: 34 B7
0x6b39a5:$xor_b7: 34 B7
0x6e6627:$xor_b7: 34 B7
0x6ef5c0:$xor_b7: 34 B7
0x6f3da5:$xor_b7: 34 B7
0x6f95a1:$xor_b7: 34 B7
0x72d427:$xor_b7: 34 B7
0x751afd:$xor_b7: 34 B7
0x7554c8:$xor_b7: 34 B7
0x75c3ef:$xor_b7: 34 B7
0x79134d:$xor_b7: 34 B7
0x79c05b:$xor_b7: 34 B7
0x79d549:$xor_b7: 34 B7
0x7afa73:$xor_b7: 34 B7
0x7ba7d5:$xor_b7: 34 B7
0x7d3b0f:$xor_b7: 34 B7
0x7d6c3c:$xor_b7: 34 B7
0x7de33c:$xor_b7: 34 B7
0x7ea766:$xor_b7: 34 B7
0x7fd2f4:$xor_b7: 34 B7
0x7fd612:$xor_b7: 34 B7
0x80f844:$xor_b7: 34 B7
0x83387c:$xor_b7: 34 B7
0x836ccb:$xor_b7: 34 B7
0x842fd8:$xor_b7: 34 B7
0x85350e:$xor_b7: 34 B7
0x873b5c:$xor_b7: 34 B7
0x8766f1:$xor_b7: 34 B7
0x87ac2d:$xor_b7: 34 B7
0x88d5ac:$xor_b7: 34 B7
0x8a80ee:$xor_b7: 34 B7
0x8c14e7:$xor_b7: 34 B7
0x8d2627:$xor_b7: 34 B7
0x8f9847:$xor_b7: 34 B7
0x8fcc06:$xor_b7: 34 B7
0x911a38:$xor_b7: 34 B7
0x939e03:$xor_b7: 34 B7
0x94a5aa:$xor_b7: 34 B7
0x95174a:$xor_b7: 34 B7
0x95d061:$xor_b7: 34 B7
0x960d21:$xor_b7: 34 B7
0x961943:$xor_b7: 34 B7
0x968891:$xor_b7: 34 B7
0x974bef:$xor_b7: 34 B7
0x9a22dd:$xor_b7: 34 B7
0x9dee55:$xor_b7: 34 B7
0x9e6982:$xor_b7: 34 B7
0xa01c44:$xor_b7: 34 B7
0xa023d1:$xor_b7: 34 B7
0xa03e48:$xor_b7: 34 B7
0xa059b6:$xor_b7: 34 B7
0xa0e8fd:$xor_b7: 34 B7
0xa12334:$xor_b7: 34 B7
0xa1394f:$xor_b7: 34 B7
0xa22bba:$xor_b7: 34 B7
0xa2c0dc:$xor_b7: 34 B7
0xa3aecb:$xor_b7: 34 B7
0xa3bbe1:$xor_b7: 34 B7
0xa48fba:$xor_b7: 34 B7
0xa5b761:$xor_b7: 34 B7
0xa630fb:$xor_b7: 34 B7
0xa6ffaf:$xor_b7: 34 B7
0xa7c122:$xor_b7: 34 B7
0xa7d063:$xor_b7: 34 B7
0xa84b52:$xor_b7: 34 B7
0xa8fdd2:$xor_b7: 34 B7
0xab8ce0:$xor_b7: 34 B7
0xac3ec9:$xor_b7: 34 B7
0xacba6a:$xor_b7: 34 B7
0xada232:$xor_b7: 34 B7
0xae05f5:$xor_b7: 34 B7
0xaf486d:$xor_b7: 34 B7
0xafe37b:$xor_b7: 34 B7
0xb0cdc4:$xor_b7: 34 B7
0xb2d05a:$xor_b7: 34 B7
0xb3553b:$xor_b7: 34 B7
0xb3cec2:$xor_b7: 34 B7
0xb44e65:$xor_b7: 34 B7
0xb578e8:$xor_b7: 34 B7
0xb8ddd4:$xor_b7: 34 B7
0xb94fce:$xor_b7: 34 B7
0xbb1870:$xor_b7: 34 B7
0xbbede5:$xor_b7: 34 B7
0xbf7446:$xor_b7: 34 B7
0xc07988:$xor_b7: 34 B7
0xc0e9b1:$xor_b7: 34 B7
0xc23563:$xor_b7: 34 B7
0xc31549:$xor_b7: 34 B7
0xc484d6:$xor_b7: 34 B7
idll_dll_minimal_imports_and_large_data /home/kali/Downloads/sandbox/u297528.dat
0x3a38:$kernel32: KERNEL32.dll
0x39f2:$disable_thread: DisableThreadLibraryCalls
